date,close
2019-07-18,13807.6732
2019-07-19,13919.9607
2019-07-22,13761.0285
2019-07-23,13842.0911
2019-07-24,13979.3849
2019-07-25,14098.6744
2019-07-26,14105.8276
2019-07-29,14114.6246
2019-07-30,14183.101
2019-07-31,14074.5635
2019-08-01,13987.0283
2019-08-02,13789.2652
2019-08-05,13561.0834
2019-08-06,13372.8327
2019-08-07,13306.1175
2019-08-08,13464.7037
2019-08-09,13278.1676
2019-08-12,13555.7496
2019-08-13,13441.9794
2019-08-14,13539.1663
2019-08-15,13605.2168
2019-08-16,13683.401
2019-08-19,14089.0189
2019-08-20,14089.4921
2019-08-21,14081.3065
2019-08-22,14124.1389
2019-08-23,14143.0922
2019-08-26,14004.7184
2019-08-27,14266.5803
2019-08-28,14223.3539
2019-08-29,14200.7337
2019-08-30,14152.0285
2019-09-02,14460.8128
2019-09-03,14558.713
2019-09-04,14660.2788
2019-09-05,14786.8706
2019-09-06,14848.0771
2019-09-09,15118.7814
2019-09-10,15063.7466
2019-09-11,14896.5403
2019-09-12,14997.3246
2019-09-16,14995.6305
2019-09-17,14701.2474
2019-09-18,14748.2608
2019-09-19,14898.6655
2019-09-20,14943.4868
2019-09-23,14792.9807
2019-09-24,14839.5901
2019-09-25,14628.2426
2019-09-26,14317.1862
2019-09-27,14445.2919
2019-09-30,14290.7579
2019-10-08,14334.749
2019-10-09,14383.7244
2019-10-10,14583.6047
2019-10-11,14627.568
2019-10-14,14810.1071
2019-10-15,14637.097
2019-10-16,14593.0675
2019-10-17,14598.9745
2019-10-18,14430.5007
2019-10-21,14461.7343
2019-10-22,14596.5863
2019-10-23,14484.9162
2019-10-24,14467.6309
2019-10-25,14626.9784
2019-10-28,14841.9958
2019-10-29,14758.3218
2019-10-30,14661.5376
2019-10-31,14592.4338
2019-11-01,14846.2268
2019-11-04,14946.767
2019-11-05,15054.3987
2019-11-06,14937.7025
2019-11-07,15024.1993
2019-11-08,14991.5366
2019-11-11,14667.0623
2019-11-12,14652.1328
2019-11-13,14679.8375
2019-11-14,14769.669
2019-11-15,14621.1794
2019-11-18,14724.0146
2019-11-19,14989.3233
2019-11-20,14867.8941
2019-11-21,14816.3272
2019-11-22,14593.5645
2019-11-25,14593.604
2019-11-26,14671.6055
2019-11-27,14628.7516
2019-11-28,14589.824
2019-11-29,14530.0596
2019-12-02,14565.8509
2019-12-03,14646.2788
2019-12-04,14693.0974
2019-12-05,14862.4992
2019-12-06,14984.0439
2019-12-09,14981.3652
2019-12-10,15042.3219
2019-12-11,14947.416
2019-12-12,14923.3056
2019-12-13,15179.6713
2019-12-16,15413.6526
2019-12-17,15638.8199
2019-12-18,15622.496
2019-12-19,15625.901
2019-12-20,15525.4462
2019-12-23,15263.3837
2019-12-24,15466.2774
2019-12-25,15528.3586
2019-12-26,15641.8219
2019-12-27,15536.5742
2019-12-30,15738.1779
2019-12-31,15837.5113
2020-01-02,16154.3581
2020-01-03,16182.0167
2020-01-06,16246.556
2020-01-07,16446.1154
2020-01-08,16261.5436
2020-01-09,16553.0541
2020-01-10,16526.2074
2020-01-13,16770.7724
2020-01-14,16693.6391
2020-01-15,16669.6412
2020-01-16,16663.218
2020-01-17,16644.387
2020-01-20,16890.7591
2020-01-21,16644.8873
2020-01-22,16826.1703
2020-01-23,16234.2576
2020-02-03,14864.0141
2020-02-04,15336.0615
2020-02-05,15665.0341
2020-02-06,16115.6689
2020-02-07,16132.1474
2020-02-10,16310.8363
2020-02-11,16372.876
2020-02-12,16635.6189
2020-02-13,16520.3309
2020-02-14,16600.3689
2020-02-17,17095.8685
2020-02-18,17195.7172
2020-02-19,17088.9246
2020-02-20,17505.913
2020-02-21,17690.4105
2020-02-24,17908.4954
2020-02-25,18036.8975
